threshhold,FRR,FAR
0.0,100.0,0.0
0.1,100.0,0.0
0.2,100.0,0.0
0.30000000000000004,96.55172413793103,0.0
0.4,96.55172413793103,0.0
0.5,96.55172413793103,0.0
0.6000000000000001,96.55172413793103,0.0
0.7000000000000001,96.55172413793103,0.0
0.8,96.55172413793103,0.0
0.9,96.55172413793103,0.0
1.0,96.55172413793103,0.0
1.1,96.55172413793103,0.0
1.2000000000000002,96.55172413793103,0.0
1.3,96.55172413793103,0.0
1.4000000000000001,96.55172413793103,0.0
1.5,96.55172413793103,0.0
1.6,96.55172413793103,0.0
1.7000000000000002,96.55172413793103,0.0
1.8,96.55172413793103,0.0
1.9000000000000001,96.55172413793103,0.0
2.0,96.55172413793103,0.0
2.1,96.55172413793103,0.0
2.2,96.55172413793103,0.0
2.3000000000000003,96.55172413793103,0.0
2.4000000000000004,96.55172413793103,0.0
2.5,96.55172413793103,0.0
2.6,96.55172413793103,0.0
2.7,89.65517241379311,0.0
2.8000000000000003,89.65517241379311,0.0
2.9000000000000004,89.65517241379311,0.0
3.0,89.65517241379311,0.0
3.1,89.65517241379311,0.0
3.2,89.65517241379311,0.0
3.3000000000000003,89.65517241379311,0.0
3.4000000000000004,89.65517241379311,0.0
3.5,89.65517241379311,0.0
3.6,89.65517241379311,0.0
3.7,89.65517241379311,0.0
3.8000000000000003,89.65517241379311,0.0
3.9000000000000004,89.65517241379311,0.0
4.0,89.65517241379311,0.0
4.1000000000000005,89.65517241379311,0.0
4.2,89.65517241379311,0.0
4.3,89.65517241379311,0.0
4.4,89.65517241379311,0.0
4.5,89.65517241379311,0.0
4.6000000000000005,89.65517241379311,0.0
4.7,89.65517241379311,0.0
4.800000000000001,89.65517241379311,0.0
4.9,89.65517241379311,0.0
5.0,89.65517241379311,0.0
5.1000000000000005,89.65517241379311,0.0
5.2,89.65517241379311,0.0
5.300000000000001,89.65517241379311,0.0
5.4,89.65517241379311,0.0
5.5,89.65517241379311,0.0
